soil,median_soil_toc_combustion,median_soil_total_c_combustion,median_som_loi_percent_wt_loss,median_ca_co3_content,median_som_walkley_black,median_p_h_1_1_water,mad_soil_toc_combustion,mad_soil_total_c_combustion,mad_som_loi_percent_wt_loss,mad_ca_co3_content,mad_som_walkley_black,mad_p_h_1_1_water
Soil.2017.119,1.86,1.9,2.99,0.5,NA,NA,0.148,0.075,0.108,0.094,NA,NA
Soil.2017.120,1.92,1.93,4.39,0.3,NA,NA,0.057,0.04,0.18,0.24,NA,NA
Soil.2016.101,1.73,1.75,3.93,0.64,3.04,6.46,0.07,0.039,0.19,0.135,0.125,0.065
Soil.2016.102,2.47,2.51,4.54,0.8,4.2,7.2,0.09,0.065,0.24,0.11,0.308,0.054
Soil.2016.103,1.17,2.35,2.72,12.2,1.9,8,0.14,0.06,0.2,0.843,0.134,0.1
Soil.2016.104,1.92,1.94,4.32,0.5,3.21,5.3,0.04,0.04,0.22,0.07,0.31,0.125
Soil.2016.105,0.573,0.58,1.76,1.08,1.07,7.2,0.025,0.023,0.137,0.165,0.118,0.1
Soil.2016.106,3.81,5.19,5.79,14.6,5.94,7.8,0.2,0.216,0.39,1.6,0.5,0.07
Soil.2016.107,2.08,2.05,4.06,0.833,3.5,6.86,0.041,0.05,0.26,0.143,0.2,0.07
Soil.2016.108,1.07,1.1,2.23,0.42,2,6.47,0.04,0.04,0.12,0.08,0.1,0.07
Soil.2016.109,1.46,1.51,2.7,0.9,2.8,6.94,0.133,0.075,0.12,0.184,0.33,0.08
Soil.2016.110,2.46,2.47,4.53,0.881,4.13,7.21,0.07,0.073,0.235,0.095,0.286,0.07
Soil.2016.111,2.73,4.63,4.4,17.2,4,7.62,0.353,0.17,0.2,2.9,0.27,0.091
Soil.2016.112,3.09,3.15,6.42,0.45,5.37,5.99,0.08,0.064,0.22,0.068,0.376,0.06
Soil.2016.113,2.43,2.47,4.6,0.685,4.15,7.21,0.065,0.065,0.2,0.121,0.15,0.07
Soil.2016.114,2.97,3.04,5.1,1.3,5,7.43,0.089,0.065,0.23,0.25,0.273,0.08
Soil.2016.115,5.85,5.91,12.2,0.41,9.77,4.9,0.297,0.145,0.66,0.069,1.44,0.06
Soil.2016.116,2.47,2.46,4.57,0.7,4.2,7.2,0.083,0.073,0.18,0.138,0.15,0.07
Soil.2016.117,2.3,2.3,4.87,0.4,3.87,5.66,0.066,0.04,0.22,0.069,0.17,0.08
Soil.2016.118,1.06,1.07,2.4,0.345,1.67,5.6,0.059,0.04,0.12,0.061,0.128,0.06
Soil.2016.119,0.908,1.07,1.8,1.4,1.7,7.8,0.023,0.042,0.1,0.18,0.18,0.08
Soil.2016.120,1.08,1.07,2.58,0.63,1.9,6.86,0.03,0.04,0.17,0.133,0.126,0.09
Soil.2015.101,2.1,2.08,4.3,0.62,3.42,6.46,0.06,0.094,0.205,0.093,0.257,0.08
Soil.2015.102,1.48,1.51,3.09,0.545,2.72,5.78,0.08,0.045,0.12,0.103,0.18,0.08
Soil.2015.103,2.6,3.51,5.58,9.7,3.51,7.59,0.123,0.075,0.425,0.835,0.29,0.09
Soil.2015.104,1.25,1.28,2.55,0.9,2.13,7.5,0.041,0.02,0.12,0.161,0.162,0.07
Soil.2015.105,0.67,0.727,1.5,0.294,1.3,5.98,0.03,0.027,0.075,0.061,0.2,0.1
Soil.2015.106,0.96,1.09,1.83,2,1.68,8.16,0.04,0.036,0.139,0.295,0.08,0.08
Soil.2015.107,0.78,0.827,1.85,0.455,1.54,5.6,0.042,0.027,0.11,0.2,0.07,0.086
Soil.2015.108,2.1,2.09,4.35,0.5,3.35,6.43,0.1,0.075,0.25,0.3,0.21,0.075
Soil.2015.109,0.58,0.598,1.05,0.25,1.09,6.17,0.05,0.028,0.065,0.038,0.11,0.095
Soil.2015.110,1.22,1.23,2.4,0.71,2.1,6.85,0.02,0.03,0.1,0.162,0.1,0.06
Soil.2015.111,0.302,0.319,0.753,0.52,0.545,7.8,0.028,0.019,0.095,0.11,0.06,0.075
Soil.2015.112,1.29,1.33,2.4,0.337,2.28,5.44,0.064,0.06,0.122,0.059,0.168,0.06
Soil.2015.113,0.504,0.51,1.3,0.4,0.9,6.3,0.02,0.03,0.14,0.096,0.085,0.08
Soil.2015.114,0.94,0.97,2.23,0.45,1.6,6.43,0.035,0.03,0.145,0.088,0.1,0.05
Soil.2015.115,2.06,2.06,4.36,0.45,3.4,6.45,0.045,0.054,0.24,0.088,0.125,0.05
Soil.2015.116,0.77,0.875,1.48,1.29,1.3,7.96,0.04,0.022,0.13,0.29,0.11,0.08
Soil.2015.117,0.675,0.682,1.63,0.5,1.2,7.17,0.039,0.025,0.14,0.083,0.096,0.08
Soil.2015.118,2.09,2.1,4.3,0.48,3.31,6.46,0.075,0.06,0.25,0.099,0.27,0.06
Soil.2015.119,0.363,0.38,0.78,0.305,0.7,7.69,0.021,0.021,0.08,0.048,0.09,0.09
Soil.2015.120,2.51,2.52,5.2,0.595,4.1,5.9,0.105,0.058,0.23,0.134,0.375,0.07
Soil.2014.101,1,1.08,2.23,0.485,1.99,6.45,0.06,0.043,0.129,0.085,0.124,0.07
Soil.2014.102,0.95,1.06,2.4,0.47,1.65,5.59,0.169,0.03,0.13,0.093,0.24,0.085
Soil.2014.103,1.42,1.94,3.33,5.3,2.6,7.9,0.188,0.063,0.27,0.67,0.2,0.1
Soil.2014.104,2.08,2.13,4.64,0.69,3.65,4.89,0.132,0.05,0.24,0.112,0.413,0.085
Soil.2014.105,0.4,0.413,0.825,0.48,0.764,5.3,0.066,0.025,0.075,0.08,0.094,0.1
